Application Number,Program Administrator,Program,Incentive Design,Incentive Type,Incentive Step,Incentive Amount,Total Cost,Nameplate Rating,CEC PTC Rating,Design Factor,CSI Rating,Current Incentive Application Status,Cancellation Reason,Host Customer NAICS Code,System Owner Sector,System Owner NAICS Code,Host Customer Sector,Host Customer Physical Address City,Host Customer Physical Address County,Host Customer Physical Address State,Host Customer Physical Zip Code,First New Reservation Request Date,First Online Reservation Request Submitted Date,First Reservation Request Review Date,First Pending RFP Date,First RFP Review (Gov't/Non-Profit only) Date,First Suspended - RFP Review Date,First Reservation Reserved Date,First Online Proof of Project Milestones Submitted Date,First Proof of Project Milestones Review Date,First Suspended - Milestone Review Date,First Suspended - Reservation Review Date,First Confirmed Reservation Date,First Online Incentive Claim Request Submitted Date,First Incentive Claim Request Review Date,First Suspended - Incentive Claim Request Review Date,First Pending Payment Date,First PBI - In Payment Date,First Completed Date,First Withdrawn Date,First Cancelled Date,First Site Transferred Date,First System Removed Date,Solar Contractor Company Name,Contractor License Number,Seller Company Name,3rd Party Owner,PV Module#1 Manufacturer,PV Module#2 Manufacturer,PV Module#3 Manufacturer,PV Module#4 Manufacturer,PV Module#5 Manufacturer,PV Module#6 Manufacturer,PV Module#7 Manufacturer,PV Module#8 Manufacturer,PV Module#9 Manufacturer,PV Module#1 Model,PV Module#2 Model,PV Module#3 Model,PV Module#4 Model,PV Module#5 Model,PV Module#6 Model,PV Module#7 Model,PV Module#8 Model,PV Module#9 Model,PV Module#1 Quantity,PV Module#2 Quantity,PV Module#3 Quantity,PV Module#4 Quantity,PV Module#5 Quantity,PV Module#6 Quantity,PV Module#7 Quantity,PV Module#8 Quantity,PV Module#9 Quantity,Inverter#1 Manufacturer,Inverter#2 Manufacturer,Inverter#3 Manufacturer,Inverter#4 Manufacturer,Inverter#5 Manufacturer,Inverter#6 Manufacturer,Inverter#7 Manufacturer,Inverter#8 Manufacturer,Inverter#9 Manufacturer,Inverter#10 Manufacturer,Inverter#1 Model,Inverter#2 Model,Inverter#3 Model,Inverter#4 Model,Inverter#5 Model,Inverter#6 Model,Inverter#7 Model,Inverter#8 Model,Inverter#9 Model,Inverter#10 Model,Inverter#1 Quantity,Inverter#2 Quantity,Inverter#3 Quantity,Inverter#4 Quantity,Inverter#5 Quantity,Inverter#6 Quantity,Inverter#7 Quantity,Inverter#8 Quantity,Inverter#9 Quantity,Inverter#10 Quantity,Installed Status,Completed/PBI-In Payment Status,Performance Monitoring Provider,PDP Provider,CSI Project Azimuth,CSI Project Tilt,Tracking Type,CEC PTC Rating Fixed,CEC PTC Rating Single-Axis Tracking,CEC PTC Rating Dual-Axis Tracking,CSI Rating Fixed,CSI Rating Single-Axis Tracking,CSI Rating Dual-Axis Tracking,MASH Track 1A Incentive Amount,MASH Track 1B Incentive Amount,MASH Track 2 Incentive Amount,MASH Track 1A % Capacity,MASH Track 1B % Capacity
SD-CSI-03676,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,5368,0,4,3.469,0.99829,3.463,Cancelled,,,Residential,,Residential,Culver City,Los Angeles,CA,90232,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,20,,,,,,,,,Solectria Renewables,,,,,,,,,,PVI 4000 (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,250,18,Fixed Array,3.469,0,0,3.464,0,0,,,,,
SD-CSI-03095,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,3446,0,2.816,2.286,0.97227,2.223,Cancelled,8/4/09 - Project is in SCE territory. Sent application packet back to Applicant.  TO,,Residential,,Residential,Downey,Los Angeles,CA,90242,6/29/2009,6/30/2009,7/9/2009,,,,,,,,7/13/2009,,,,,,,,,8/4/2009,,,,,,yes,Sharp,,,,,,,,,ND-176U1Y,,,,,,,,,16,,,,,,,,,PV Powered,,,,,,,,,,PVP2800,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,15,Fixed Array,2.286,0,0,2.223,0,0,,,,,
SD-CSI-03362,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,6767,0,5.6,4.535,0.96274,4.366,Cancelled,,,Residential,,Residential,Gardena,Los Angeles,CA,90249,8/12/2009,8/12/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,SEE Systems,422405,SEE Systems,no,Suntech Power,,,,,,,,,STP200-18/UB-1,,,,,,,,,28,,,,,,,,,SMA America,,,,,,,,,,SB6000U (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,4.535,0,0,4.366,0,0,,,,,
SD-CSI-03355,CSE,Small Commercial (< 10 kW) and All Residential,"98.184% @ $1.55, 1.816% @ $1.10 per Watt EPBB",EPBB,"98.184% @ Step 5, 1.816% @ Step 6",2424,22541.08,2,1.585,0.99176,1.572,Cancelled,Project expired. DA,,Residential,,Residential,Rancho Palos Verdes,Los Angeles,CA,90275,8/12/2009,8/12/2009,8/19/2009,,,,,,,,8/21/2009,9/10/2009,10/22/2009,,,,,,,1/26/2011,,,SEE Systems,422405,SEE Systems,no,Suntech Power,,,,,,,,,STP200-18/UB-1,,,,,,,,,10,,,,,,,,,PV Powered,,,,,,,,,,PVP2000,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,236,17,Fixed Array,1.585,0,0,1.572,0,0,,,,,
SD-CSI-01400,CSE,Small Commercial (< 10 kW) and All Residential,$2.20 per Watt EPBB,EPBB,Step 3,7946,35180.5,4.368,3.695,0.97758,3.612,Cancelled,,,Residential,,Residential,La Mirada,Los Angeles,CA,90638,6/17/2008,8/13/2008,,,,,,,,,,,,,,,,,,2/25/2010,,,,,,no,Sharp,,,,,,,,,ND-208U1F,,,,,,,,,21,,,,,,,,,PV Powered,,,,,,,,,,PVP4800,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,3.695,0,0,3.612,0,0,,,,,
SD-CSI-03673,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2488,0,2,1.69,0.94962,1.605,Cancelled,,,Residential,,Residential,Seal Beach,Orange,CA,90740,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,10,,,,,,,,,Fronius USA,,,,,,,,,,IG 2000 NEG,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,1.69,0,0,1.604,0,0,,,,,
SD-CSI-03124,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,0,0,,,0.94114,,Cancelled,,,Residential,,Residential,Long Beach,Los Angeles,CA,90808,6/30/2009,6/30/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,"Akeena Solar, Inc.",805773,"Akeena Solar, Inc.",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enphase Energy,,,,,,,,,,M190-72-240-S12,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,,,,0,0,0,0,0,0,,,,,
SD-CSI-03358,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2429,7200,1.98,1.599,0.98,1.567,Cancelled,,,Residential,,Residential,Arcadia,Los Angeles,CA,91006,8/10/2009,8/12/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,SunGreen Systems,935910,SunGreen Systems,no,Ligitek Photovoltaic,,,,,,,,,LM220BB00,,,,,,,,,9,,,,,,,,,Powercom,,,,,,,,,,SLK-4000 (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,0,Fixed Array,1.599,0,0,1.567,0,0,,,,,
SD-CSI-02508,CSE,Small Commercial (< 10 kW) and All Residential,$1.90 per Watt EPBB,EPBB,Step 4,8962,25000,6.3,4.863,0.97,4.717,Cancelled,,,Residential,,Residential,La Canada,Los Angeles,CA,91011,5/1/2009,5/1/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,,,,no,Solartech Power,,,,,,,,,SPM210P,,,,,,,,,30,,,,,,,,,Beacon Power,,,,,,,,,,M5 Plus,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,4.863,0,0,4.717,0,0,,,,,
SD-CSI-03679,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,2895,0,2.2,1.868,1,1.868,Cancelled,,,Residential,,Residential,Sunland,Los Angeles,CA,91040,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,11,,,,,,,,,Fronius USA,,,,,,,,,,IG 3000 NEG,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,1.868,0,0,1.868,0,0,,,,,
SD-CSI-03677,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,4013,0,3,2.589,1,2.589,Cancelled,,,Residential,,Residential,Sylmar,Los Angeles,CA,91342,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,15,,,,,,,,,SMA America,,,,,,,,,,SB3000US (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,225,30,Fixed Array,2.589,0,0,2.589,0,0,,,,,
SD-CSI-03678,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,4013,0,3,2.589,1,2.589,Cancelled,,,Residential,,Residential,Sylmar,Los Angeles,CA,91342,9/11/2009,9/11/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,Contact Electric,847208,Contact Electric,no,Evergreen Solar,,,,,,,,,ES-A-200-fa2,,,,,,,,,15,,,,,,,,,SMA America,,,,,,,,,,SB3000US (240V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,2.589,0,0,2.589,0,0,,,,,
SD-CSI-05190,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,6568,60005,7.755,6.672,0.89496,5.971,Cancelled,,,Residential,,Residential,Rancho Cucamonga,San Bernardino,CA,91701,2/8/2010,2/8/2010,,,,,,,,,,,,,,,,,,5/25/2011,,,Connector Electric,557928,Connector Electric,no,Sharp,,,,,,,,,NU-U235F1,,,,,,,,,33,,,,,,,,,SMA America,,,,,,,,,,SB7000US (208V),,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,90,17,Fixed Array,6.672,0,0,5.971,0,0,,,,,
SD-CSI-04839,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,8403,84559.84,9.87,8.536,0.8949,7.639,Cancelled,,,Residential,,Residential,Rancho Cucamonga,San Bernardino,CA,91701,11/19/2009,12/12/2009,,,,,,,,,,,,,,,,,,5/25/2011,,,Connector Electric,557928,,no,Sharp,,,,,,,,,NU-U235F1,,,,,,,,,42,,,,,,,,,PV Powered,,,,,,,,,,PVP4800,,,,,,,,,,2,,,,,,,,,,Delisted,Delisted,,,90,17,Fixed Array,8.536,0,0,7.639,0,0,,,,,
SD-CSI-03112,CSE,Small Commercial (< 10 kW) and All Residential,$1.55 per Watt EPBB,EPBB,Step 5,7834,31116,5.94,5.054,1,5.054,Cancelled,,,Residential,,Residential,Walnut,Los Angeles,CA,91789,6/30/2009,6/30/2009,,,,,,,,,,,,,,,,,,5/24/2011,,,,,,no,Isofoton,,,,,,,,,IS-220/32,,,,,,,,,27,,,,,,,,,PV Powered,,,,,,,,,,PVP5200,,,,,,,,,,1,,,,,,,,,,Delisted,Delisted,,,180,30,Fixed Array,5.054,0,0,5.054,0,0,,,,,
SD-CSI-06441,CSE,Small Commercial (< 10 kW) and All Residential,$0.65 per Watt EPBB,EPBB,Step 7,6095,67740,11.04,9.723,0.96438,9.377,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,5/20/2010,6/8/2010,6/8/2010,,,,,,,,6/10/2010,6/11/2010,7/1/2010,7/1/2010,,8/5/2010,,9/3/2010,,,,,Catalano Electric,823858,Catalano Electric,no,Canadian Solar,,,,,,,,,CS6P-230P,,,,,,,,,48,,,,,,,,,Fronius USA,,,,,,,,,,IG Plus 11.4-240,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,137,11,Fixed Array,9.723,0,0,9.377,0,0,,,,,
SD-CSI-02825,CSE,Small Commercial (< 10 kW) and All Residential,$1.90 per Watt EPBB,EPBB,Step 4,13051,59235.4,8.36,6.902,0.9952,6.869,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,6/9/2009,6/11/2009,6/15/2009,,,,,,,,,6/24/2009,9/15/2009,9/17/2009,,10/22/2009,,12/1/2009,,,,,"Global Resource Options, Inc. DBA GroSolar",905438,"Global Resource Options, Inc. DBA GroSolar",no,Evergreen Solar,,,,,,,,,ES-B-190-fb1,,,,,,,,,44,,,,,,,,,Motech Industries,,,,,,,,,,PVMate 3900U (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,,,212,15,Fixed Array,6.902,0,0,6.869,0,0,,,,,
SD-CSI-05695,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,9134,52868.83,9.45,8.308,0.99953,8.304,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/22/2010,3/22/2010,3/24/2010,,,,,,,,,4/14/2010,6/14/2010,6/15/2010,,6/25/2010,,7/21/2010,,,,,Alternative Energy Technologies,852243,Alternative Energy Technologies,no,SunPower,,,,,,,,,SPR-315E-WHT-D,,,,,,,,,30,,,,,,,,,SunPower,,,,,,,,,,SPR-5000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,,,218,21,Fixed Array,8.308,0,0,8.305,0,0,,,,,
SD-CSI-04392,CSE,Small Commercial (< 10 kW) and All Residential,$1.10 per Watt EPBB,EPBB,Step 6,6516,48715.94,7.095,6.193,0.9566,5.924,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/28/2009,10/28/2009,10/29/2009,,,,,,,,,11/15/2009,12/17/2009,12/17/2009,,1/11/2010,,2/1/2010,,,,,"Sequoia Solar, Inc.",913373,"Sequoia Solar, Inc.",no,SunPower,,,,,,,,,SPR-215-WHT-U,,,,,,,,,33,,,,,,,,,SunPower,,,,,,,,,,SPR-7000m (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,180,19,Fixed Array,6.193,0,0,5.925,0,0,,,,,
SD-CSI-02413,CSE,Small Commercial (< 10 kW) and All Residential,$1.90 per Watt EPBB,EPBB,Step 4,13488,62468.51,8.424,7.132,0.99542,7.099,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,4/13/2009,4/15/2009,4/20/2009,,,,,,,,,4/29/2009,6/4/2009,6/4/2009,,7/9/2009,,7/27/2009,,,,,"Sequoia Solar, Inc.",913373,"Sequoia Solar, Inc.",no,Sharp,,,,,,,,,ND-216UC1,,,,,,,,,39,,,,,,,,,SMA America,,,,,,,,,,SB7000US (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,220,25,Fixed Array,7.132,0,0,7.1,0,0,,,,,
SD-CSI-01584,CSE,Small Commercial (< 10 kW) and All Residential,$2.20 per Watt EPBB,EPBB,Step 3,19166,77976,10.368,8.733,0.99757,8.712,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,,,9/15/2008,,,,,,,,,9/26/2008,,4/1/2009,,4/14/2009,,5/6/2009,,,,,Sullivan Solar Power,839077,Sullivan Solar Power,no,Sharp,,,,,,,,,ND-216U2,,,,,,,,,48,,,,,,,,,SMA America,,,,,,,,,,SB5000US (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,Fat Spaniel Technologies; a Power-One Brand,,185,13,Fixed Array,8.733,0,0,8.711,0,0,,,,,
SD-CSI-07968,CSE,Small Commercial (< 10 kW) and All Residential,$0.35 per Watt EPBB,EPBB,Step 8a,1521,21763.35,5.2,4.397,0.98823,4.345,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,10/29/2010,,12/1/2010,,,,,,,,12/16/2010,12/17/2010,,11/10/2011,,11/23/2011,,11/30/2011,,,,,Hawkins Construction Inc.,732952,City Electric Supply,no,Solar Power Industries,,,,,,,,,SPI-M200-60,,,,,,,,,26,,,,,,,,,SMA America,,,,,,,,,,SB5000US (240V),,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,206,9,Fixed Array,4.397,0,0,4.346,0,0,,,,,
SD-CSI-07878,CSE,Small Commercial (< 10 kW) and All Residential,$0.35 per Watt EPBB,EPBB,Step 8a,1549,45007.2,5.64,4.79,0.923948234,4.426,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,11/15/2010,11/15/2010,11/15/2010,,,,,,,,,11/23/2010,,7/6/2011,7/20/2011,7/20/2011,,8/3/2011,,,,,SolarCity,888104,SolarCity,yes,Yingli Energy (China),,,,,,,,,YL235P-29b,,,,,,,,,24,,,,,,,,,Fronius USA,,,,,,,,,,IG 5100 NEG,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,Multiple,27,Fixed Array,4.79,0,0,4.426,0,0,,,,,
SD-CSI-09771,CSE,Small Commercial (< 10 kW) and All Residential,$0.35 per Watt EPBB,EPBB,Step 8a,5580,105356.13,18.24,15.964,0.9987,15.943,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,8/11/2011,,8/11/2011,,,,,,,,,8/25/2011,,3/27/2012,,4/10/2012,,5/4/2012,,,,,"Herca Solar, Inc",950771,"Herca Solar, Inc",no,SunPower,,,,,,,,,SPR-240E-WHT-D,,,,,,,,,76,,,,,,,,,SunPower,,,,,,,,,,SPR-8000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,"SunPower Corporation, Systems (Richmond)",,182,20,Fixed Array,15.964,0,0,15.943,0,0,,,,,
SD-CSI-21679,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1372,23000,8.415,7.33,0.93599,6.861,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/5/2014,,,,,,,,,,,,,,,,,,,,,,Solar Electric Works,696218,Solar Electric Works,no,Renesola America,,,,,,,,,JC255M-24/Bx,,,,,,,,,33,,,,,,,,,Fronius USA,,,,,,,,,,IG Plus 7.5-240,,,,,,,,,,1,,,,,,,,,,Wait List,Wait List,,,110,15,Fixed Array,7.33,0,0,6.861,0,0,,,,,
SD-CSI-12152,CSE,Small Commercial (< 10 kW) and All Residential,$0.25 per Watt EPBB,EPBB,Step 9b,2384,63044,11.088,9.743,0.97867,9.535,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,3/8/2012,,3/19/2012,,,,,,,,3/29/2012,3/30/2012,,4/16/2012,,5/1/2012,,5/14/2012,,,,,Clary Solar,924404,Clary Solar,yes,SunPower,,,,,,,,,SPR-308E-WHT-D,,,,,,,,,36,,,,,,,,,SunPower,,,,,,,,,,SPR-5000m (240V),,,,,,,,,,2,,,,,,,,,,Installed,Completed/PBI-In Payment,,,180,30,Fixed Array,9.743,0,0,9.535,0,0,,,,,
SD-CSI-21913,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1017,28852,5.98,5.169,0.98336,5.083,Wait List,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/25/2014,,,,,,,,,,,,,,,,,,,,,,Mc Wire Electric Inc.,915872,Mc Wire Electric Inc.,no,Sun Edison,,,,,,,,,SE-F260CzC-3y,,,,,,,,,23,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,23,,,,,,,,,,Wait List,Wait List,,,Multiple,14,Fixed Array,5.169,0,0,5.083,0,0,,,,,
SD-CSI-17094,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,1417,44570,8.16,7.087,0.99986,7.086,Completed,,,Residential,,Residential,Alpine,San Diego,CA,91901,3/26/2013,,3/28/2013,,,,,,,,11/21/2013,11/22/2013,,1/29/2014,,3/25/2014,,4/9/2014,,,,,A S I HEATING AND AIR,513115,A S I HEATING AND AIR,no,LG Electronics Solar Cell Division,,,,,,,,,LG255S1C-G3,,,,,,,,,32,,,,,,,,,Enphase Energy,,,,,,,,,,M215-60-2LL-S2X,,,,,,,,,,32,,,,,,,,,,Installed,Completed/PBI-In Payment,"Enphase Energy, Inc",,210,18,Fixed Array,7.087,0,0,7.086,0,0,,,,,
SD-CSI-22130,CSE,Small Commercial (< 10 kW) and All Residential,$0.20 per Watt EPBB,EPBB,Step 10,860,24000,5,4.362,0.98541,4.298,Wait List,,,Commercial,,Residential,Alpine,San Diego,CA,91901,4/10/2014,,,,,,,,,,,,,,,,,,,,,,SolarCity,888104,SolarCity,yes,AU Optronics,,,,,,,,,PM245P01_250,,,,,,,,,20,,,,,,,,,Power-One,,,,,,,,,,PVI-4.2-OUTD-S-US (240 V),,,,,,,,,,1,,,,,,,,,,Wait List,Wait List,,,201,18,Fixed Array,4.362,0,0,4.299,0,0,,,,,
SD-CSI-09622,CSE,Small Commercial (< 10 kW) and All Residential,"91.119% @ $0.35, 8.881% @ $0.25 per Watt EPBB",EPBB,"91.119% @ Step 8a, 8.881% @ Step 9b",3684,105016.8,13.16,11.295,0.95603,10.798,Completed,,,Commercial,,Residential,Alpine,San Diego,CA,91901,7/28/2011,,7/28/2011,,,,,,,,,8/12/2011,,12/6/2011,,12/20/2011,,1/9/2012,,,,,SolarCity,888104,SolarCity,yes,Yingli Energy (China),,,,,,,,,YL235P-29b,,,,,,,,,56,,,,,,,,,Fronius USA,,,,,,,,,,IG Plus V 11.4-240,,,,,,,,,,1,,,,,,,,,,Installed,Completed/PBI-In Payment,,,184,18,Fixed Array,11.295,0,0,10.798,0,0,,,,,
